"person_id","name","ocupation","number_of_movies","total_box_office"
nm0000363,Loren Dean,actor,1,4555459.0
nm0000365,Julie Delpy,actress,3,72641520
nm0000366,Catherine Deneuve,actress,3,82822696
nm0000367,Gérard Depardieu,actor,7,286103904
nm0000368,Laura Dern,actress,6,474794912
nm0000369,Matt Dillon,actor,7,234766688
nm0000372,Amanda Donohoe,actress,2,1633370.0
nm0000374,Brad Dourif,actor,3,118537280
nm0000375,Robert Downey Jr.,actor,24,12348995584
nm0000376,Fran Drescher,actress,1,27627310
nm0000377,Richard Dreyfuss,actor,11,443764608
nm0000378,Minnie Driver,actress,1,23389976
nm0000379,Kirsten Dunst,actress,10,2750458368
nm0000380,Robert Duvall,actor,8,385690208
nm0000380,Robert Duvall,producer,1,47405568
nm0000381,Anthony Edwards,actor,4,105785056
nm0000383,Jennifer Ehle,actress,2,577259328
nm0000385,Sam Elliott,actor,8,983641664
nm0000386,Roland Emmerich,director,6,2002113792
nm0000387,Robert Englund,actor,8,288420160
nm0000388,R. Lee Ermey,actor,2,81508640
nm0000389,Emilio Estevez,actor,5,165202384
nm0000391,Rupert Everett,actor,6,281890048
nm0000392,Morgan Fairchild,actress,1,989528.0
nm0000393,Peter Falk,actor,3,28912448
nm0000396,Farrah Fawcett,actress,3,58284096
nm0000397,Corey Feldman,actor,4,116875120
nm0000398,Sally Field,actress,5,535877536
nm0000399,David Fincher,director,4,1014839360
nm0000400,Linda Fiorentino,actress,4,32099948
nm0000401,Laurence Fishburne,actor,9,449683968
nm0000402,Carrie Fisher,actress,4,1462925440
nm0000403,Bridget Fonda,actress,2,20148324
nm0000404,Jane Fonda,actress,6,376769792
nm0000407,Vivica A. Fox,actress,1,15020293
nm0000408,Jonathan Frakes,director,1,38793284
nm0000409,Brendan Fraser,actor,7,718196736
nm0000412,Andy Garcia,actor,5,688797056
nm0000413,Janeane Garofalo,actress,1,12096673
nm0000414,Teri Garr,actress,3,5718277.0
nm0000415,Jami Gertz,actress,6,40763768
nm0000416,Terry Gilliam,director,1,105316264
nm0000417,Crispin Glover,actor,2,244821808
