"tconst","title","release_year","release_date","budget","worldwide_box_office","domestic_box_office","foreign_box_office","imdb_raiting","numvotes","genre"
tt4862468,A Chinese Odyssey: Part Three,2016,,,53306108,,53306108,3.60,462,Fantasy
tt0088915,A Chorus Line,1985,1985-12-10,"0",14202899,14202899,,6.20,10560,Drama
tt1067106,A Christmas Carol,2009,2009-11-04,"200000000",325286656,137855856,187430784,6.80,114865,Adventure
tt0085334,A Christmas Story,1983,1983-11-18,"0",19294144,19294144,,7.90,147419,Comedy
,A Christmas Story 1984 Re-release,1984,,,1311065.0,1311065.0,,,,
tt0356470,A Cinderella Story,2004,2004-07-10,"19000000",70067912,51438176,18629734,5.90,87728,Comedy
tt0120633,A Civil Action,1998,1998-03-05,"70000000",56709980,56709980,,6.60,29435,Drama
tt9282616,A Cool Fish,2018,,,118153136,551876.0,117601256,6.90,1755,Comedy
tt0094924,A Cry in the Dark,1988,1988-11-11,"15000000",6908797.0,6908797.0,,6.90,10517,Biography
tt0099327,A Cry in the Wild,1990,1990-06-01,"0",1494969.0,1494969.0,,5.70,1046,Action
,A Cure for Wellness,2017,,,26620002,8106986.0,18513016,,,
tt1571222,A Dangerous Method,2011,2011-09-30,"15000000",30519436,5704709.0,24814728,6.40,103788,Biography
tt0106661,A Dangerous Woman,1993,1993-09-10,"0",1497222.0,1497222.0,,5.80,1958,Drama
tt0160216,A Dog of Flanders,1999,1999-08-27,"0",2165637.0,2165637.0,,6.20,979,Drama
tt8385474,A Dog's Journey,2019,,,78870912,22782372,56088536,7.40,24722,Adventure
tt1753383,A Dog's Purpose,2017,2017-01-19,"22000000",205035824,64508620,140527200,7.20,72402,Adventure
tt7616798,A Dog's Way Home,2019,,,80708136,42004344,38703788,6.70,18185,Adventure
tt0097243,A Dry White Season,1989,1989-01-01,"0",3766879.0,3766879.0,,7.00,5716,Drama
tt0116275,A Family Thing,1996,1996-03-29,"0",10125417,10125417,,7.00,3736,Comedy
tt0106868,A Far Off Place,1993,1993-03-12,"0",12890752,12890752,,6.50,3603,Adventure
tt0104257,A Few Good Men,1992,1992-12-11,"40000000",141340176,141340176,,7.70,263042,Drama
tt0091051,A Fine Mess,1986,1986-08-08,"0",6029824.0,6029824.0,,4.60,1537,Action
tt0095159,A Fish Called Wanda,1988,1988-07-15,"7500000",62493712,62493712,,7.50,142511,Comedy
,A Fish Tale,2001,,,5595327.0,563911.0,5031416.0,,,
tt1677603,A Ghost of a Chance,2011,,,53982636,,53982636,7.00,1112,Comedy
tt1606378,A Good Day to Die Hard,2013,2013-02-06,"92000000",304654176,67349200,237304992,5.20,207243,Action
tt0109920,A Good Man in Africa,1994,1994-07-14,"0",2308390.0,2308390.0,,5.00,2591,Comedy
tt0401445,A Good Year,2006,2006-09-09,"35000000",42269924,7459300.0,34810624,6.90,95883,Comedy
tt0113198,A Goofy Movie,1995,1995-04-07,"0",35348596,35348596,,6.90,54616,Adventure
tt0295289,A Guy Thing,2003,2003-01-17,"20000000",17432164,15545431,1886732.0,5.60,17498,Comedy
tt0095274,A Handful of Dust,1988,1988-06-24,"0",1560700.0,1560700.0,,6.60,2075,Drama
tt3697626,A Hard Day,2014,2014-05-29,"0",26488848,19004.0,26469844,7.20,14352,Action
tt2243537,A Haunted House,2013,2013-01-11,"2500000",60159584,40041684,20117900,5.00,47004,Comedy
tt2828996,A Haunted House 2,2014,2014-04-17,"0",25358716,17329486,8029230.0,4.60,21848,Comedy
tt0399146,A History of Violence,2005,2005-09-23,"32000000",61385064,31504632,29880432,7.40,238864,Action
tt0107130,A Home of Our Own,1993,1993-11-05,"12000000",1677807.0,1677807.0,,7.00,3411,Biography
tt0113538,A Kid in King Arthur's Court,1995,1995-08-11,"0",13406717,13406717,,4.70,6298,Adventure
tt0102220,A Kiss Before Dying,1991,1991-04-26,"0",15429177,15429177,,5.70,5563,Crime
tt0183790,A Knight's Tale,2001,2001-05-11,"65000000",117487472,56569704,60917772,6.90,186576,Action
tt0104694,A League of Their Own,1992,1992-07-01,"40000000",107533928,107533928,,7.30,109186,Comedy
tt0119535,A Life Less Ordinary,1997,1997-10-24,"12000000",4366722.0,4366722.0,,6.30,35768,Comedy
tt0113670,A Little Princess,1995,1995-05-10,"17000000",10015449,10015449,,7.60,34636,Drama
tt0084259,A Little Sex,1982,,,2370376.0,2370376.0,,4.80,567,Comedy
