budget,imdb_id,original_language,title,revenue,status
0,tt0018451,en,The Student Prince in Old Heidelberg,0,Released
0,tt0018455,en,Sunrise: A Song of Two Humans,121,Released
0,tt0018471,en,Tell It to the Marines,0,Released
0,tt0018515,en,Two Arabian Knights,0,Released
0,tt0018523,fr,The Italian Straw Hat,0,Released
0,tt0018526,xx,Underworld,0,Released
217000,tt0018528,en,The Unknown,0,Released
0,tt0018530,en,Upstream,0,Released
0,tt0018566,en,When a Man Loves,0,Released
2000000,tt0018578,en,Wings,0,Released
290000,tt0018618,en,Across to Singapore,596000,Released
0,tt0018737,de,Pandora's Box,0,Released
0,tt0018742,en,The Cameraman,0,Released
0,tt0018756,en,Champagne,0,Released
0,tt0018770,fr,The Fall of the House of Usher,0,Released
9000000,tt0018773,en,The Circus,0,Released
0,tt0018795,en,The Cossacks,0,Released
0,tt0018806,en,The Crowd,0,Released
0,tt0018826,fr,Les deux timides,0,Released
0,tt0018836,en,The Divine Woman,0,Released
0,tt0018839,en,The Docks of New York,0,Released
0,tt0018873,en,The Fall of the House of Usher,0,Released
0,tt0018908,en,The Four Feathers,0,Released
0,tt0018909,en,Four Sons,0,Released
0,tt0018935,de,Sex in Chains,0,Released
0,tt0018937,en,A Girl in Every Port,0,Released
0,tt0018972,en,Hangman's House,0,Released
0,tt0019067,en,A Lady of Chance,0,Released
0,tt0019071,en,The Last Command,0,Released
293000,tt0019074,en,"Laugh, Clown, Laugh",0,Released
75000,tt0019096,en,Lights of New York,1200000,Released
0,tt0019109,en,Lonesome,0,Released
0,tt0019130,en,The Man Who Laughs,0,Released
337,tt0019195,en,The Mysterious Lady,551,Released
0,tt0019225,en,The Eleventh Year,0,Released
0,tt0019237,en,Our Dancing Daughters,0,Released
0,tt0019254,fr,The Passion of Joan of Arc,0,Released
0,tt0019258,en,The Patsy,0,Released
0,tt0019278,en,Plane Crazy,0,Released
0,tt0019286,ru,Storm Over Asia,0,Released
0,tt0019304,en,The Racket,0,Released
0,tt0019344,en,Sadie Thompson,0,Released
0,tt0019379,en,Show People,0,Released
0,tt0019400,en,The Smart Set,0,Released
0,tt0019403,ka,Salt for Svanetia,0,Released
0,tt0019412,en,Speedy,0,Released
0,tt0019415,de,Spies,0,Released
0,tt0019421,en,"Steamboat Bill, Jr.",0,Released
4986,tt0019422,en,Steamboat Willie,0,Released
0,tt0019429,en,Street Angel,0,Released
0,tt0019434,en,Submarine,0,Released
0,tt0019451,en,Tempest,0,Released
0,tt0019486,fr,The Tournament,0,Released
0,tt0019489,en,The Trail of '98,0,Released
0,tt0019504,en,Two Tars,0,Released
0,tt0019509,en,Underground,0,Released
0,tt0019557,en,Weary River,0,Released
0,tt0019558,en,The Wedding March,0,Rumored
259000,tt0019563,en,West of Zanzibar,921000,Released
0,tt0019571,en,While the City Sleeps,0,Released
0,tt0019574,en,White Shadows in the South Seas,0,Released
0,tt0019585,en,The Wind,0,Released
383000,tt0019591,en,A Woman of Affairs,0,Released
0,tt0019607,en,You're Darn Tootin',0,Released
0,tt0019611,uk,Zvenigora,0,Released
0,tt0019630,en,Alibi,0,Released
0,tt0019640,en,Angora Love,0,Released
0,tt0019644,en,Applause,0,Released
0,tt0019646,en,L'argent,0,Released
0,tt0019649,uk,Arsenal,0,Released
0,tt0019655,de,Asphalt,0,Released
0,tt0019684,en,Behind That Curtain,0,Released
0,tt0019686,en,Berth Marks,0,Released
0,tt0019699,en,The Black Watch,0,Released
0,tt0019702,en,Blackmail,0,Released
0,tt0019715,en,Bouncing Babies,0,Released
1000000,tt0019725,en,Broadway,0,Released
0,tt0019726,en,Broadway Babies,0,Released
379000,tt0019729,en,The Broadway Melody,4358000,Released
550000,tt0019735,en,Bulldog Drummond,0,Released
0,tt0019760,ru,Man with a Movie Camera,0,Released
0,tt0019777,en,The Cocoanuts,0,Released
0,tt0019788,en,Coquette,0,Released
354000,tt0019813,en,The Desert Song,0,Released
0,tt0019823,en,Disraeli,0,Released
0,tt0019824,en,The Divine Lady,0,Released
0,tt0019843,en,Dynamite,0,Released
0,tt0019850,cs,Erotikon,0,Released
0,tt0019886,en,The Flying Fleet,0,Released
0,tt0019901,de,Woman in the Moon,0,Released
0,tt0019935,en,The Godless Girl,0,Released
0,tt0019946,en,The Great Gabbo,0,Rumored
0,tt0019959,en,Hallelujah,0,Released
0,tt0019968,en,The Haunted House,0,Released
